comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
test-test,test,UAV_0114,test,UAV_0170,84,84,1.1537530260138813,0.7056063382758584,False
test-test,test,UAV_0115,test,UAV_0165,79,79,1.1713893999398706,0.7378824103525702,False
test-test,test,UAV_0119,test,UAV_0133,115,100,1.1761578289979324,0.6183087823451296,False
test-test,test,UAV_0156,test,UAV_0186,162,100,1.176808367093389,0.7291127925507412,False
test-test,test,UAV_0104,test,UAV_0191,56,56,1.1784767764923556,0.653518308581208,False
test-test,test,UAV_0145,test,UAV_0197,88,88,1.1801825721441628,0.6263205574994174,False
test-test,test,UAV_0133,test,UAV_0145,88,88,1.1807130203862313,0.6202369781060909,False
test-test,test,UAV_0117,test,UAV_0162,224,100,1.1874331801508795,0.8141433342699443,False
test-test,test,UAV_0106,test,UAV_0142,64,64,1.188088897881063,0.7151911553575293,False
test-test,test,UAV_0192,test,UAV_0194,266,100,1.192071040870638,0.7959853885666417,False
test-test,test,UAV_0193,test,UAV_0197,95,95,1.194328574929418,0.653642619377698,False
test-test,test,UAV_0150,test,UAV_0158,119,100,1.1949661555554743,0.7088954069570407,False
test-test,test,UAV_0155,test,UAV_0165,79,79,1.1956307917049585,0.7937869882341206,False
test-test,test,UAV_0142,test,UAV_0191,56,56,1.2004415769587562,0.7472080373002054,False
test-test,test,UAV_0110,test,UAV_0144,131,100,1.2030245197730904,0.7892447958922842,False
test-test,test,UAV_0176,test,UAV_0197,95,95,1.2040197181932493,0.6227390781084925,False
test-test,test,UAV_0160,test,UAV_0165,79,79,1.2056717823746261,0.7428437163622956,False
test-test,test,UAV_0191,test,UAV_0198,56,56,1.2087258116491018,0.7172655807092482,False
test-test,test,UAV_0110,test,UAV_0125,131,100,1.2088840420247384,0.7496589306843345,False
test-test,test,UAV_0186,test,UAV_0197,95,95,1.2107179500228429,0.8453630105331978,False
test-test,test,UAV_0163,test,UAV_0196,137,100,1.2141322119302533,0.6958605008636193,False
test-test,test,UAV_0175,test,UAV_0178,191,100,1.2193345653860752,0.6907035169375554,False
test-test,test,UAV_0125,test,UAV_0126,130,100,1.2225656957658817,0.7429667494128801,False
test-test,test,UAV_0112,test,UAV_0165,79,79,1.2233876554792449,0.8330287615011738,False
test-test,test,UAV_0101,test,UAV_0175,191,100,1.225820070878386,0.7022831174521377,False
test-test,test,UAV_0101,test,UAV_0109,233,100,1.226374468420621,0.8247869606513312,False
test-test,test,UAV_0122,test,UAV_0143,119,100,1.2268362247270619,0.7829242513538038,False
test-test,test,UAV_0143,test,UAV_0165,79,79,1.2275642095581947,0.8066087800084625,False
test-test,test,UAV_0144,test,UAV_0170,84,84,1.2319166884258863,0.61793388513945,False
